Natural Electric LLC,,,,
Clewiston Expense 2,,,,
All Dates,,,,

,Account,Date,Transaction type,Amount
Fuel,,,,
,Taxes,11/01/2019,Payroll Check,$129.30
,Taxes,11/01/2019,Payroll Check,$89.01
,Taxes,11/01/2019,Payroll Check,$20.04
,Taxes,11/01/2019,Payroll Check,$55.92
,Taxes,11/01/2019,Payroll Check,$4.82
,Taxes,11/15/2019,Payroll Check,$34.74
,Taxes,11/15/2019,Payroll Check,$112.75
,Taxes,11/15/2019,Payroll Check,$184.85
,Taxes,11/15/2019,Payroll Check,$65.19
,Taxes,11/15/2019,Payroll Check,$95.49
,Taxes,11/29/2019,Payroll Check,$184.63
,Taxes,11/29/2019,Payroll Check,$68.92
,Taxes,11/29/2019,Payroll Check,$107.29
,Taxes,11/29/2019,Payroll Check,$88.76
,Taxes,11/29/2019,Payroll Check,$112.20
,Taxes,12/13/2019,Payroll Check,$90.46
,Taxes,12/13/2019,Payroll Check,$71.76
,Taxes,12/13/2019,Payroll Check,$155.68
,Taxes,12/13/2019,Payroll Check,$93.36
,Taxes,12/13/2019,Payroll Check,$94.15
,Taxes,12/27/2019,Payroll Check,$108.42
,Taxes,12/27/2019,Payroll Check,$38.78
,Taxes,12/27/2019,Payroll Check,$110.02
,Taxes,12/27/2019,Payroll Check,$84.48
,Taxes,12/27/2019,Payroll Check,$161.64
,Taxes,12/27/2019,Payroll Check,$15.45
,Taxes,01/10/2020,Payroll Check,$60.12
,Taxes,01/10/2020,Payroll Check,$54.83
,Taxes,01/10/2020,Payroll Check,$72.30
,Taxes,01/10/2020,Payroll Check,$55.49
,Taxes,01/10/2020,Payroll Check,$6.15
,Taxes,01/10/2020,Payroll Check,$43.82
,Taxes,01/10/2020,Payroll Check,$52.24
,Taxes,01/10/2020,Payroll Check,$101.49
,Taxes,01/10/2020,Payroll Check,$44.02
,Taxes,01/24/2020,Payroll Check,$192.68
,Taxes,01/24/2020,Payroll Check,$112.89
,Taxes,01/24/2020,Payroll Check,$83.87
,Taxes,01/24/2020,Payroll Check,$23.40
,Taxes,02/06/2020,Payroll Check,$8.76
,Taxes,02/07/2020,Payroll Check,$52.39
,Taxes,02/07/2020,Payroll Check,$35.56
,Taxes,02/07/2020,Payroll Check,$3.78
,Taxes,02/07/2020,Payroll Check,$41.52
,Taxes,02/07/2020,Payroll Check,$68.20
,Taxes,02/07/2020,Payroll Check,$182.65
,Taxes,02/07/2020,Payroll Check,$81.48
,Taxes,02/21/2020,Payroll Check,$64.98
,Taxes,02/21/2020,Payroll Check,$125.47
,Taxes,02/21/2020,Payroll Check,$92.11
,Taxes,02/21/2020,Payroll Check,$124.46
,Taxes,02/21/2020,Payroll Check,$66.82
